tail -f /var/log/apache2/error.log

[Wed Nov 23 21:05:24.688482 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87817598/initial/redir#6] [perdir /home/guillaume/public_html/] applying pattern '^(.*)/$' to uri 'app/index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688503 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87817598/initial/redir#6] [perdir /home/guillaume/public_html/] strip per-dir prefix: /home/guillaume/public_html/app/index.php -> app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688513 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87817598/initial/redir#6] [perdir /home/guillaume/public_html/] applying pattern '^' to uri 'app/index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688540 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87817598/initial/redir#6] [perdir /home/guillaume/public_html/] RewriteCond: input='/home/guillaume/public_html/app/index.php' pattern='!-d' => matched, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688555 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87817598/initial/redir#6] [perdir /home/guillaume/public_html/] RewriteCond: input='/home/guillaume/public_html/app/index.php' pattern='!-f' => matched, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688565 2016] [rewrite:trace2] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87817598/initial/redir#6] [perdir /home/guillaume/public_html/] rewrite 'app/index.php' -> 'index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688575 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87817598/initial/redir#6] [perdir /home/guillaume/public_html/] add per-dir prefix: index.php -> /home/guillaume/public_html/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688586 2016] [rewrite:trace2] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87817598/initial/redir#6] [perdir /home/guillaume/public_html/] trying to replace prefix /home/guillaume/public_html/ with /~guillaume/app/, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688596 2016] [rewrite:trace5] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87817598/initial/redir#6] strip matching prefix: /home/guillaume/public_html/index.php -> index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688606 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87817598/initial/redir#6] add subst prefix: index.php -> /~guillaume/app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688615 2016] [rewrite:trace1] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87817598/initial/redir#6] [perdir /home/guillaume/public_html/] internal redirect with /~guillaume/app/index.php [INTERNAL REDIRECT], referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688729 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87819a90/initial/redir#7] [perdir /home/guillaume/public_html/] strip per-dir prefix: /home/guillaume/public_html/app/index.php -> app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688752 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87819a90/initial/redir#7] [perdir /home/guillaume/public_html/] applying pattern '^(.*)/$' to uri 'app/index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688766 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87819a90/initial/redir#7] [perdir /home/guillaume/public_html/] strip per-dir prefix: /home/guillaume/public_html/app/index.php -> app/index.php, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688776 2016] [rewrite:trace3] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87819a90/initial/redir#7] [perdir /home/guillaume/public_html/] applying pattern '^' to uri 'app/index.php', referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
[Wed Nov 23 21:05:24.688790 2016] [rewrite:trace4] [pid 27204] mod_rewrite.c(475): [client 176.151.98.236:63831] 176.151.98.236 - - [vcp.gromi.net/sid#7fcd8789cf00][rid#7fcd87819a90/initial/redir#7] [perdir /home/guillaume/public_html/] RewriteCond: input='/home/guillaume/public_html/app/index.php' pattern='!-d' => matched, referer: http://vcp.gromi.net/~guillaume/app/components/ticket/ticketView.html
